0 |[(37, 1), (38, 1), (39, 1), (41, 1), (42, 1), (44, 1), (46, 1), (47, 1), (50, 1), (51, 1), (52, 1), (53, 1)]|
00 |[(51, 1)]|
000 |[(37, 1)]|
00004 |[(51, 1)]|
00016 |[(51, 1)]|
00024 |[(51, 1)]|
00026 |[(51, 1)]|
00039 |[(51, 1)]|
00053 |[(51, 1)]|
00247 |[(38, 1)]|
00329 |[(51, 1)]|
00332 |[(51, 1)]|
00379 |[(51, 1)]|
00537 |[(51, 1)]|
006 |[(40, 1)]|
00665 |[(51, 1)]|
007 |[(43, 1)]|
00721 |[(51, 1)]|
01 |[(39, 1), (43, 1), (46, 1), (51, 1)]|
01450 |[(51, 1)]|
0165551516683617 |[(43, 1)]|
01729 |[(51, 1)]|
01928 |[(51, 1)]|
02 |[(37, 1), (45, 1), (46, 1)]|
02119 |[(51, 1)]|
03 |[(40, 1), (51, 1)]|
032 |[(47, 1)]|
03461 |[(51, 1)]|
03972 |[(51, 1)]|
04 |[(43, 1), (45, 1), (51, 1)]|
0403025 |[(40, 1)]|
04257 |[(51, 1)]|
04506 |[(51, 1)]|
05 |[(51, 1)]|
05048 |[(51, 1)]|
05188 |[(51, 1)]|
05308 |[(51, 1)]|
05921 |[(51, 1)]|
06 |[(46, 1), (48, 1), (51, 1)]|
060 |[(48, 1)]|
06238 |[(51, 1)]|
06800 |[(48, 1)]|
07 |[(51, 1)]|
07533 |[(51, 1)]|
07848 |[(51, 1)]|
07854 |[(51, 1)]|
07987 |[(51, 1)]|
08 |[(37, 1), (54, 1)]|
09 |[(51, 1)]|
09015 |[(51, 1)]|
09207 |[(51, 1)]|
09449 |[(51, 1)]|
09765 |[(51, 1)]|
0pd |[(51, 1)]|
1 |[(38, 1), (39, 1), (40, 1), (41, 1), (42, 1), (43, 1), (44, 1), (45, 1), (46, 1), (47, 1), (48, 1), (50, 1), (51, 1), (52, 1), (53, 1), (54, 1)]|
10 |[(37, 1), (38, 1), (41, 1), (42, 1), (43, 1), (44, 1), (45, 1), (46, 1), (50, 1), (51, 1), (52, 1), (53, 1), (54, 1)]|
100 |[(37, 1), (46, 1), (51, 1)]|
1000 |[(39, 1), (47, 1), (51, 1)]|
100000 |[(37, 1)]|
100893 |[(51, 1)]|
101 |[(51, 1)]|
101073 |[(40, 1)]|
102 |[(51, 1)]|
1021 |[(51, 1)]|
103 |[(51, 1)]|
1038 |[(51, 1)]|
104 |[(51, 1)]|
1044 |[(51, 1)]|
105 |[(51, 1)]|
10500000 |[(39, 1)]|
106 |[(51, 1)]|
1069 |[(51, 1)]|
10691 |[(48, 1)]|
107 |[(51, 1)]|
10702 |[(51, 1)]|
10708 |[(48, 1)]|
108 |[(51, 1)]|
109 |[(51, 1)]|
1094 |[(51, 1)]|
10th |[(37, 1)]|
11 |[(45, 1), (46, 1), (47, 1), (51, 1)]|
110 |[(51, 1)]|
111 |[(51, 1)]|
112 |[(47, 1), (51, 1)]|
113 |[(51, 1)]|
114 |[(51, 1)]|
11406 |[(51, 1)]|
11437 |[(51, 1)]|
11440 |[(51, 1)]|
115 |[(51, 1)]|
116 |[(51, 1)]|
11691 |[(48, 1)]|
117 |[(54, 1)]|
1177 |[(43, 1)]|
118 |[(51, 1)]|
11902 |[(51, 1)]|
11th |[(37, 1)]|
12 |[(40, 1), (45, 1), (46, 1), (47, 1), (51, 1)]|
120 |[(51, 1)]|
12071 |[(46, 1)]|
121 |[(54, 1)]|
12331 |[(51, 1)]|
1240 |[(46, 1)]|
1250 |[(39, 1)]|
12600 |[(51, 1)]|
12700 |[(51, 1)]|
129 |[(51, 1)]|
13 |[(45, 1), (51, 1)]|
130 |[(51, 1)]|
1305 |[(51, 1)]|
13136 |[(51, 1)]|
132 |[(51, 1)]|
13281 |[(51, 1)]|
134 |[(51, 1)]|
13407 |[(51, 1)]|
135 |[(51, 1)]|
13606 |[(51, 1)]|
1364 |[(46, 1)]|
13788 |[(51, 1)]|
138 |[(48, 1)]|
1385 |[(51, 1)]|
14 |[(38, 1), (41, 1), (42, 1), (44, 1), (45, 1), (48, 1), (50, 1), (51, 1), (52, 1), (53, 1)]|
140 |[(51, 1)]|
14143 |[(51, 1)]|
142 |[(51, 1)]|
14277 |[(51, 1)]|
1429 |[(51, 1)]|
1446 |[(47, 1)]|
145 |[(47, 1)]|
1455 |[(51, 1)]|
148 |[(51, 1)]|
14882 |[(51, 1)]|
149 |[(51, 1)]|
1490 |[(51, 1)]|
