0 |[(21, 1), (22, 1), (23, 1), (25, 1), (26, 1), (28, 1), (31, 1), (33, 1), (35, 1), (36, 1)]|
46 |[(21, 1), (33, 1), (34, 1)]|
47 |[(33, 1)]|
473 |[(24, 1)]|
48 |[(33, 1)]|
482 |[(30, 1)]|
4x2 |[(32, 1)]|
4x4 |[(20, 1)]|
5 |[(20, 1), (27, 1), (33, 1), (34, 1), (35, 1)]|
50 |[(33, 1)]|
5000 |[(34, 1)]|
506 |[(34, 1)]|
50672 |[(23, 1)]|
51 |[(34, 1)]|
52 |[(30, 1)]|
53 |[(22, 1), (25, 1), (26, 1), (28, 1), (31, 1), (36, 1)]|
531 |[(34, 1)]|
53211 |[(34, 1)]|
54 |[(33, 1)]|
540 |[(21, 1)]|
547 |[(34, 1)]|
569 |[(33, 1)]|
585 |[(21, 1)]|
6 |[(19, 1), (21, 1), (22, 1), (25, 1), (26, 1), (27, 1), (28, 1), (31, 1), (32, 1), (33, 1), (34, 1), (36, 1)]|
60 |[(33, 1), (35, 1)]|
62 |[(24, 1), (33, 1)]|
623 |[(21, 1)]|
633994 |[(21, 1)]|
64 |[(33, 1)]|
640 |[(20, 1)]|
648 |[(34, 1)]|
65 |[(33, 1)]|
653 |[(33, 1)]|
67786 |[(30, 1)]|
68 |[(32, 1)]|
68040 |[(32, 1)]|
682 |[(33, 1)]|
683 |[(33, 1)]|
699 |[(33, 1)]|
6_2 |[(30, 1)]|
7 |[(22, 1), (24, 1), (25, 1), (26, 1), (28, 1), (31, 1), (33, 1), (35, 1), (36, 1)]|
70 |[(33, 1)]|
701 |[(34, 1)]|
7070 |[(24, 1)]|
71 |[(20, 1)]|
72 |[(33, 1)]|
73 |[(33, 1)]|
73951 |[(21, 1)]|
740 |[(34, 1)]|
75 |[(33, 1)]|
758 |[(34, 1)]|
77 |[(24, 1)]|
78 |[(34, 1)]|
79 |[(34, 1)]|
8 |[(19, 1), (32, 1), (33, 1), (35, 1)]|
80 |[(22, 1), (25, 1), (26, 1), (28, 1), (31, 1), (33, 1), (34, 1), (36, 1)]|
80929 |[(32, 1)]|
816 |[(34, 1)]|
82 |[(33, 1)]|
8251 |[(29, 1)]|
828 |[(24, 1)]|
83 |[(33, 1)]|
834 |[(24, 1)]|
